ATP_Rank,Name,Age,Weight(lbs),Height(cms),Region_ID
1,Novak Djokovic,34,170,188,1
2,Daniil Medvedev,25,182,198,1
3,Alexander Zverev,24,198,198,1
4,Stefanos Tsitsipas,23,198,193,1
5,Andrey Rublev,24,165,188,1
6,Rafael Nadal,35,187,185,1
7,Matteo Berrettini,25,209,196,1
8,Casper Ruud,23,170,183,1
9,Hubert Hurkacz,24,179,196,1
10,Jannik Sinner,20,167,188,1
11,Felix Auger-Aliassime,21,194,193,2
12,Cameron Norrie,26,181,188,1
13,Diego Schwartzman,29,141,170,3
14,Denis Shapovalov,22,165,185,2
15,Dominic Thiem,28,174,185,1
16,Roger Federer,40,187,185,1
17,Cristian Garin,25,187,185,3
18,Aslan Karatsev,28,187,185,1
19,Roberto Bautista Agut,33,165,183,1
20,Pablo Carreno Busta,30,172,188,1
21,Gael Monfils,35,187,193,1
22,Nikoloz Basilashvili,29,174,185,1
23,Taylor Fritz,24,190,196,2
24,John Isner,36,238,208,2
25,Daniel Evans,31,165,175,1
26,Reilly Opelka,24,225,211,2
27,Lorenzo Sonego,26,168,191,1
28,Grigor Dimitrov,30,179,191,1
29,Karen Khachanov,25,192,198,1
30,Marin Cilic,33,196,198,1
31,Lloyd Harris,24,176,193,1
32,Carlos Alcaraz,18,159,185,1
33,Dusan Lajovic,31,183,183,1
34,Alex de Minaur,22,152,183,4
35,Ugo Humbert,23,160,188,1
36,Alexander Bublik,24,180,196,1
37,Fabio Fognini,34,174,178,1
38,Frances Tiafoe,23,190,188,2
39,David Goffin,31,154,180,1
40,Marton Fucsovics,29,181,188,1
41,Sebastian Korda,21,175,196,2
42,Filip Krajinovic,29,165,185,1
43,Tommy Paul,24,180,185,2
44,Federico Delbonis,31,198,193,3
45,Albert Ramos-Vinolas,33,168,188,1
46,Benoit Paire,32,176,196,1
47,Kei Nishikori,31,161,178,4
48,Ilya Ivashka,27,185,193,1
49,James Duckworth,29,181,183,4
50,Alejandro Davidovich Fokina,22,176,183,1
51,Jan-Lennard Struff,31,202,193,1
52,Laslo Djere,26,181,188,1
53,Soonwoo Kwon,24,159,180,4
54,Dominik Koepfer,27,175,180,1
55,Mackenzie McDonald,26,160,178,2
56,Jenson Brooksby,21,183,193,2
57,Botic van de Zandschulp,26,187,191,1
58,Arthur Rinderknech,26,193,196,1
59,Lorenzo Musetti,19,172,185,1
60,Pedro Martinez,24,168,185,1
61,Alexei Popyrin,22,172,196,4
62,Gianluca Mager,27,170,188,1
63,Federico Coria,29,161,180,3
64,Benjamin Bonzi,25,180,183,1
65,Tallon Griekspoor,25,187,188,1
66,Marcos Giron,28,170,180,2
67,Hugo Gaston,21,149,173,1
68,Brandon Nakashima,20,185,185,2
69,Miomir Kecmanovic,22,165,183,1
70,Milos Raonic,31,216,196,2
71,Adrian Mannarino,33,174,180,1
72,John Millman,32,174,183,4
73,Borna Coric,25,187,188,1
74,Guido Pella,31,174,183,3
75,Jordan Thompson,27,181,183,4
76,Facundo Bagnis,31,180,183,3
77,Jaume Munar,24,168,183,1
78,Stefano Travaglia,29,176,185,1
79,Roberto Carballes Baena,28,170,183,1
80,Kevin Anderson,35,208,203,1
81,Yoshihito Nishioka,26,141,170,4
82,Stan Wawrinka,36,179,183,1
83,Jiri Vesely,28,207,198,1
84,Daniel Altmaier,23,176,188,1
85,Steve Johnson,32,190,188,2
86,Peter Gojowczyk,32,183,188,1
87,Richard Gasquet,35,174,183,1
88,Alex Molcan,24,160,178,1
89,Thiago Monteiro,27,172,183,3
90,Juan Manuel Cerundolo,20,157,183,3
91,Pablo Andujar,35,176,180,1
92,Corentin Moutet,22,156,175,1
93,Nick Kyrgios,26,187,193,4
94,Mikael Ymer,23,165,183,1
95,Emil Ruusuvuori,22,174,188,1
96,Tennys Sandgren,30,195,188,2
97,Pablo Cuevas,35,173,180,3
98,Henri Laaksonen,29,172,185,1
99,Sebastian Baez,20,154,170,3
100,Marco Cecchinato,29,171,185,1
108,Sam Querrey,34,209,198,2
106,Feliciano Lopez,40,194,188,1
121,Kyle Edmund,26,183,188,1
133,Vasek Pospisil,31,194,193,2
114,Philipp Kohlschreiber,38,154,178,1
134,Andy Murray,34,181,191,1
109,Aljaz Bedene,32,161,183,1
110,Pierre-Hugues Herbert,30,165,188,1
154,Fernando Verdasco,38,198,188,1
120,Daniel Elahi Galan,25,159,191,3
107,Jeremy Chardy,34,165,188,1
113,Egor Gerasimov,29,190,196,1
102,Andreas Seppi,37,172,191,1
105,Denis Kudla,29,175,180,2
125,Taro Daniel,28,185,191,4
104,Ricardas Berankis,31,170,175,1
135,Juan Ignacio Londero,28,154,180,3
118,Norbert Gombos,31,187,193,1
119,Dennis Novak,28,176,183,1
182,Mikhail Kukushkin,34,159,183,1
155,Lucas Pouille,27,185,185,1
140,Joao Sousa,32,163,185,1
123,Radu Albot,32,152,175,1
122,Gilles Simon,36,154,183,1
157,Salvatore Caruso,29,176,185,1
