Pressure_Rank,Rating,BPs_won_perc,BPs_saved_perc,Tiebreaks_won_perc,Deciding_set_won_perc,Player_ID
1,256.7,0.458,0.665,0.675,0.769,1
2,253.5,0.442,0.61,0.769,0.714,63
3,247.4,0.382,0.717,0.638,0.737,7
4,244,0.371,0.617,0.652,0.8,73
5,238.2,0.462,0.663,0.565,0.692,6
6,236.9,0.424,0.602,0.655,0.688,32
7,235.9,0.401,0.708,0.667,0.583,16
8,235.1,0.409,0.639,0.667,0.636,93
9,229.2,0.448,0.601,0.643,0.6,13
10,228.6,0.426,0.622,0.514,0.724,8
11,228.6,0.364,0.624,0.61,0.688,11
12,227.9,0.3,0.7,0.686,0.593,24
13,225.8,0.348,0.674,0.486,0.75,80
14,221.6,0.455,0.589,0.486,0.686,2
15,221.5,0.384,0.625,0.563,0.643,86
16,216.2,0.392,0.651,0.476,0.643,41
17,216.1,0.372,0.59,0.563,0.636,118
18,215.9,0.439,0.633,0.545,0.542,10
19,215.3,0.412,0.612,0.55,0.579,54
20,215.3,0.344,0.603,0.68,0.526,59
21,214.5,0.391,0.643,0.5,0.611,15
22,214.2,0.359,0.658,0.5,0.625,30
23,213.9,0.372,0.648,0.474,0.645,36
24,213.8,0.383,0.617,0.471,0.667,66
25,213.7,0.426,0.58,0.595,0.536,37
26,213.6,0.427,0.631,0.545,0.533,17
27,213,0.362,0.61,0.533,0.625,23
28,212.9,0.414,0.631,0.49,0.594,5
29,212.7,0.369,0.546,0.565,0.647,81
30,212.6,0.404,0.599,0.623,0.5,3
31,212.2,0.406,0.645,0.571,0.5,4
32,211.1,0.405,0.575,0.586,0.545,22
33,210.9,0.427,0.628,0.471,0.583,60
34,210,0.383,0.636,0.581,0.5,48
35,209.4,0.378,0.608,0.517,0.591,74
36,209.3,0.383,0.615,0.48,0.615,113
37,209.2,0.423,0.598,0.5,0.571,120
38,208.7,0.42,0.641,0.559,0.467,25
39,208.6,0.385,0.563,0.471,0.667,105
40,208.5,0.371,0.599,0.5,0.615,107
41,208.2,0.439,0.625,0.435,0.583,68
42,208.1,0.369,0.634,0.609,0.469,9
43,207.6,0.396,0.589,0.647,0.444,91
44,207.6,0.339,0.622,0.5,0.615,87
45,207.3,0.389,0.563,0.533,0.588,95
46,206.8,0.384,0.561,0.409,0.714,92
47,206.6,0.412,0.589,0.52,0.545,71
48,206.6,0.394,0.651,0.586,0.435,20
49,206.4,0.335,0.65,0.595,0.484,35
50,206.3,0.36,0.632,0.5,0.571,75
51,205.8,0.394,0.617,0.4,0.647,18
52,204.6,0.383,0.663,0.538,0.462,49
53,204.2,0.362,0.6,0.542,0.538,47
54,203.6,0.412,0.634,0.554,0.436,29
55,203.3,0.443,0.579,0.48,0.531,12
56,202.2,0.384,0.62,0.563,0.455,21
57,202.2,0.407,0.579,0.536,0.5,50
58,200.2,0.387,0.589,0.526,0.5,97
59,200.1,0.408,0.626,0.5,0.467,85
60,199.8,0.386,0.594,0.577,0.441,38
61,199.7,0.39,0.607,0.333,0.667,134
62,199.5,0.417,0.602,0.528,0.448,72
63,199,0.402,0.6,0.423,0.565,43
64,199,0.419,0.568,0.474,0.529,122
65,198.7,0.418,0.624,0.4,0.545,28
66,198.5,0.35,0.649,0.622,0.364,61
67,197.7,0.4,0.595,0.467,0.515,40
68,197.5,0.403,0.658,0.414,0.5,42
69,196.8,0.357,0.659,0.5,0.452,14
70,196.7,0.394,0.566,0.407,0.6,39
71,196.5,0.364,0.588,0.448,0.565,53
72,196.4,0.396,0.591,0.448,0.529,109
73,196.4,0.364,0.631,0.469,0.5,27
74,195.5,0.389,0.595,0.4,0.571,31
75,195.5,0.38,0.609,0.421,0.545,46
76,194.9,0.421,0.59,0.5,0.438,19
77,194.7,0.36,0.636,0.643,0.308,155
78,194.7,0.399,0.648,0.5,0.4,62
79,194.4,0.337,0.633,0.429,0.545,154
80,194.1,0.326,0.659,0.563,0.393,26
81,193.8,0.41,0.59,0.393,0.545,44
82,193.5,0.367,0.555,0.632,0.381,100
83,193.3,0.426,0.586,0.588,0.333,102
84,192.9,0.359,0.595,0.387,0.588,52
85,191.9,0.332,0.633,0.519,0.435,106
86,191.3,0.406,0.557,0.412,0.538,79
87,191.2,0.308,0.61,0.594,0.4,108
88,191,0.381,0.588,0.441,0.5,33
89,189.8,0.362,0.65,0.457,0.429,83
90,187.7,0.379,0.607,0.5,0.391,69
91,187.6,0.415,0.608,0.325,0.528,45
92,186.7,0.396,0.663,0.5,0.308,89
93,185.9,0.376,0.625,0.429,0.429,76
94,185.5,0.4,0.647,0.308,0.5,58
95,184.4,0.357,0.573,0.2,0.714,157
96,184,0.365,0.646,0.385,0.444,133
97,183.9,0.38,0.664,0.462,0.333,82
98,183.5,0.427,0.547,0.25,0.611,94
99,182.5,0.377,0.612,0.55,0.286,55
100,182.1,0.42,0.584,0.417,0.4,125
101,180.6,0.394,0.564,0.393,0.455,78
102,180.4,0.361,0.638,0.583,0.222,114
103,180.3,0.347,0.61,0.513,0.333,51
104,179.8,0.398,0.611,0.414,0.375,34
105,178.8,0.368,0.581,0.368,0.471,135
106,177.6,0.387,0.589,0.4,0.4,96
107,176.4,0.345,0.552,0.438,0.429,123
108,175.9,0.368,0.721,0.448,0.222,70
109,175.7,0.365,0.613,0.579,0.2,104
110,171.8,0.418,0.607,0.407,0.286,110
111,169.1,0.364,0.591,0.536,0.2,77
112,166.5,0.363,0.577,0.263,0.462,140
113,164.6,0.391,0.644,0.167,0.444,121
114,163,0.397,0.592,0.308,0.333,182
115,151,0.379,0.534,0.375,0.222,119
