Return_Rank,Rating,First_won_perc,Second_won_perc,Games_won_perc,BPs_converted_perc,Player_ID
1,175.9,0.361,0.567,0.36,0.462,6
2,171.2,0.355,0.558,0.34,0.458,1
3,170.3,0.352,0.558,0.34,0.448,13
4,162.2,0.323,0.55,0.29,0.455,2
5,159,0.335,0.525,0.3,0.424,32
6,155.8,0.308,0.535,0.27,0.442,63
7,155.7,0.306,0.553,0.27,0.421,19
8,154.3,0.322,0.517,0.26,0.439,10
9,154.2,0.321,0.512,0.28,0.427,94
10,153.9,0.329,0.509,0.27,0.427,17
11,153.5,0.307,0.521,0.26,0.443,12
12,153.5,0.312,0.542,0.26,0.414,5
13,152,0.331,0.517,0.27,0.394,39
14,151.8,0.31,0.518,0.26,0.427,60
15,151.7,0.31,0.531,0.26,0.41,44
16,151.6,0.314,0.521,0.26,0.418,28
17,151,0.319,0.521,0.26,0.404,3
18,151,0.297,0.527,0.26,0.426,8
19,150,0.318,0.512,0.26,0.407,50
20,149.7,0.312,0.517,0.26,0.406,79
21,148.5,0.31,0.514,0.24,0.419,122
22,148.4,0.309,0.511,0.24,0.415,45
23,148.1,0.317,0.518,0.25,0.392,41
24,148,0.311,0.513,0.26,0.394,18
25,147.9,0.319,0.504,0.25,0.4,40
26,147.7,0.313,0.511,0.24,0.406,4
27,147.4,0.308,0.502,0.24,0.42,25
28,146.9,0.313,0.489,0.24,0.426,37
29,146.5,0.316,0.508,0.25,0.391,15
30,146.3,0.309,0.53,0.26,0.362,47
31,146.2,0.294,0.539,0.23,0.396,91
32,145.9,0.307,0.508,0.23,0.405,22
33,145.6,0.312,0.519,0.23,0.389,95
34,145.3,0.312,0.509,0.24,0.384,21
35,145.2,0.291,0.53,0.24,0.383,48
36,144.7,0.305,0.499,0.23,0.412,54
37,144.1,0.31,0.496,0.23,0.398,34
38,144.1,0.287,0.518,0.23,0.403,42
39,143.9,0.297,0.511,0.22,0.402,43
40,143.9,0.305,0.502,0.23,0.401,16
41,143.6,0.271,0.509,0.21,0.439,68
42,143.4,0.288,0.529,0.23,0.378,74
43,143.3,0.29,0.506,0.22,0.417,72
44,143.2,0.304,0.509,0.23,0.384,92
45,142.3,0.286,0.508,0.21,0.412,29
46,142.2,0.3,0.478,0.22,0.423,120
47,142.1,0.308,0.498,0.23,0.381,33
48,142,0.317,0.501,0.23,0.364,77
49,140,0.287,0.506,0.21,0.391,121
50,139.8,0.304,0.488,0.22,0.38,46
51,139.7,0.308,0.49,0.22,0.376,76
52,139.4,0.285,0.485,0.19,0.426,102
53,139.1,0.295,0.473,0.2,0.418,110
54,139,0.283,0.497,0.21,0.394,20
55,138.6,0.29,0.51,0.21,0.369,81
56,138.3,0.274,0.504,0.21,0.39,134
57,138,0.308,0.46,0.21,0.394,78
58,137.8,0.277,0.509,0.2,0.386,38
59,137.8,0.288,0.506,0.22,0.364,53
60,137.7,0.275,0.471,0.21,0.42,125
61,137.3,0.291,0.493,0.21,0.377,55
62,137.3,0.29,0.488,0.2,0.387,97
63,136.9,0.296,0.499,0.21,0.359,52
64,136.7,0.281,0.49,0.2,0.396,89
65,136.5,0.276,0.508,0.2,0.379,69
66,136.5,0.287,0.486,0.2,0.384,86
67,136.4,0.287,0.47,0.19,0.412,71
68,136.1,0.297,0.475,0.2,0.382,7
69,135.6,0.293,0.495,0.22,0.345,123
70,135.4,0.267,0.517,0.2,0.365,104
71,135,0.284,0.496,0.19,0.372,118
72,134.5,0.303,0.46,0.2,0.38,82
73,134.5,0.285,0.511,0.2,0.344,59
74,134.4,0.278,0.473,0.19,0.399,62
75,134.3,0.286,0.495,0.2,0.359,30
76,134.2,0.282,0.494,0.19,0.369,9
77,134.2,0.278,0.477,0.19,0.396,109
78,134.1,0.28,0.496,0.19,0.371,107
79,133.9,0.275,0.489,0.19,0.383,113
80,133.8,0.294,0.482,0.19,0.364,11
81,133.8,0.289,0.486,0.19,0.368,135
82,133.7,0.27,0.502,0.2,0.357,157
83,133.6,0.279,0.461,0.19,0.4,58
84,133.5,0.295,0.478,0.2,0.357,14
85,132.6,0.267,0.493,0.18,0.383,66
86,132.1,0.283,0.496,0.19,0.347,51
87,132.1,0.268,0.498,0.19,0.362,23
88,131.9,0.281,0.487,0.19,0.361,114
89,131.9,0.254,0.484,0.18,0.397,182
90,131.6,0.277,0.489,0.19,0.36,75
91,131.5,0.254,0.494,0.18,0.383,49
92,131.4,0.27,0.49,0.18,0.371,73
93,131.3,0.29,0.471,0.18,0.367,100
94,131.2,0.286,0.469,0.19,0.364,27
95,131,0.289,0.49,0.19,0.337,154
96,130.7,0.261,0.474,0.18,0.389,31
97,130.6,0.286,0.456,0.19,0.372,36
98,130.3,0.252,0.495,0.17,0.385,105
99,130.2,0.283,0.471,0.18,0.368,70
100,129.6,0.277,0.487,0.19,0.339,87
101,129.5,0.251,0.484,0.17,0.387,96
102,129.4,0.278,0.466,0.18,0.363,140
103,128.5,0.25,0.458,0.16,0.408,85
104,127.7,0.241,0.492,0.16,0.379,119
105,126.5,0.282,0.451,0.17,0.36,155
106,125.7,0.26,0.468,0.16,0.362,83
107,125.1,0.279,0.463,0.17,0.335,35
108,123.5,0.262,0.462,0.16,0.35,61
109,122.2,0.247,0.464,0.14,0.365,133
110,121.8,0.225,0.449,0.13,0.409,93
111,118.6,0.255,0.446,0.13,0.348,80
112,112.6,0.238,0.456,0.12,0.308,108
113,111.4,0.233,0.43,0.11,0.332,106
114,106.7,0.216,0.422,0.1,0.326,26
115,101.4,0.207,0.418,0.089,0.3,24
