Serve_Rank,Rating,First_perc,First_won_perc,Second_won_perc,Games_won_perc,Aces_match,Dfs_match,Player_ID
1,313.3,0.698,0.79,0.548,0.919,20.2,2.4,24
2,305.6,0.609,0.831,0.565,0.924,17,4.3,70
3,301.5,0.651,0.777,0.548,0.888,17.9,2.8,26
4,297.9,0.683,0.78,0.503,0.879,16.1,2.7,93
5,297.7,0.651,0.767,0.587,0.899,8.8,1.5,16
6,295,0.633,0.797,0.537,0.896,10.5,1.8,7
7,290.7,0.639,0.782,0.497,0.858,15.9,2.8,80
8,286.9,0.668,0.764,0.5,0.859,11.3,3.5,83
9,286.1,0.635,0.757,0.559,0.868,6.3,2.1,4
10,285.8,0.648,0.759,0.539,0.868,7.2,2.8,1
11,285.7,0.595,0.809,0.486,0.854,15.9,4.6,108
12,282.3,0.652,0.728,0.567,0.851,4.4,1.9,8
13,282.2,0.679,0.763,0.487,0.838,10.1,4.6,3
14,282.1,0.588,0.766,0.537,0.852,9.9,2.1,82
15,281.8,0.605,0.768,0.538,0.851,8.8,3.2,2
16,281.7,0.645,0.734,0.564,0.855,4.2,2.3,6
17,280.4,0.63,0.747,0.522,0.841,8.8,2.4,9
18,279.6,0.657,0.754,0.48,0.819,11,2.4,31
19,279.1,0.592,0.758,0.545,0.844,7.4,2.2,68
20,278.5,0.636,0.762,0.503,0.834,9.3,4.3,11
21,278.3,0.601,0.762,0.523,0.842,7.4,1.9,5
22,277.7,0.658,0.727,0.516,0.833,6.2,1.9,27
23,277.3,0.639,0.752,0.476,0.829,10.1,2.4,58
24,276.2,0.59,0.759,0.515,0.83,9.6,2.8,23
25,276,0.642,0.727,0.531,0.829,5.5,2.4,15
26,275.8,0.674,0.721,0.513,0.812,5.9,2.1,89
27,275.3,0.685,0.704,0.527,0.809,4.4,1.6,20
28,275,0.617,0.734,0.532,0.822,7,2.5,48
29,273.7,0.56,0.771,0.511,0.826,11.6,4.7,106
30,273.6,0.621,0.745,0.507,0.819,7.6,3.2,35
31,273.4,0.597,0.746,0.516,0.823,9.2,4,61
32,273,0.588,0.774,0.488,0.82,10,4,30
33,272.6,0.624,0.735,0.513,0.826,4.9,2.1,121
34,271.7,0.663,0.697,0.542,0.797,3.4,1.6,19
35,271.3,0.632,0.722,0.512,0.8,7.2,2.5,29
36,270.1,0.606,0.755,0.472,0.809,9,3.1,133
37,270,0.597,0.748,0.508,0.827,7.5,5.5,14
38,269.9,0.654,0.708,0.508,0.801,5.3,2.5,41
39,269.1,0.571,0.732,0.521,0.812,7.7,2.2,49
40,268.8,0.618,0.724,0.506,0.793,6.8,2.1,73
41,268,0.612,0.696,0.55,0.786,5.2,1.6,114
42,268,0.622,0.701,0.524,0.795,6.2,2.4,38
43,267.6,0.617,0.716,0.5,0.792,7,1.9,75
44,267.4,0.645,0.719,0.475,0.801,7.9,4.5,21
45,267.4,0.577,0.732,0.519,0.802,7.5,3.1,85
46,267.1,0.556,0.76,0.489,0.804,9.8,3.6,51
47,266.1,0.611,0.719,0.489,0.778,9.3,2.9,96
48,266,0.596,0.721,0.53,0.803,4.7,3.7,18
49,265.4,0.575,0.76,0.46,0.802,12.2,6.5,36
50,265,0.572,0.725,0.504,0.799,7.7,2.7,134
51,264.9,0.553,0.752,0.493,0.8,8.2,3.1,109
52,264.9,0.599,0.702,0.531,0.794,4.3,2,10
53,264.8,0.657,0.7,0.493,0.784,4.6,3.2,12
54,264.6,0.643,0.683,0.519,0.77,5.5,2.4,55
55,264.4,0.633,0.716,0.498,0.788,4.9,4,28
56,264.3,0.631,0.679,0.54,0.785,2.8,2,45
57,264.2,0.577,0.73,0.503,0.796,7.9,4.3,110
58,264.2,0.677,0.666,0.523,0.762,3.3,1.9,33
59,264,0.644,0.683,0.513,0.78,4.1,2.1,42
60,263.4,0.623,0.7,0.519,0.779,3.8,2.5,25
61,263.2,0.641,0.693,0.493,0.774,6.8,3.7,154
62,263.2,0.602,0.701,0.523,0.784,4.4,2.2,43
63,262.6,0.611,0.7,0.517,0.783,5,3.5,53
64,262.5,0.604,0.713,0.497,0.776,5.6,2.1,66
65,262.2,0.607,0.694,0.531,0.777,3.5,2.2,34
66,262.1,0.607,0.709,0.497,0.777,6,2.9,62
67,261.3,0.632,0.702,0.49,0.765,5.3,2.9,97
68,261.1,0.607,0.691,0.531,0.766,3.9,2.3,69
69,260.5,0.629,0.68,0.53,0.758,3.1,2.3,32
70,260,0.595,0.701,0.515,0.773,4.3,2.7,87
71,259.9,0.617,0.692,0.504,0.769,4.5,2.8,17
72,259.9,0.628,0.695,0.492,0.759,3.8,1.3,120
73,259.7,0.66,0.671,0.503,0.748,4.1,2.6,100
74,259.3,0.641,0.654,0.543,0.752,2.3,2,47
75,259.1,0.617,0.7,0.488,0.764,6.4,4.2,107
76,258.8,0.668,0.671,0.485,0.756,2.8,2,59
77,258.2,0.648,0.704,0.445,0.753,7.2,4,113
78,258.2,0.612,0.682,0.516,0.755,3.4,1.7,72
79,258,0.59,0.705,0.509,0.773,4.3,4,40
80,257.5,0.538,0.745,0.483,0.773,7.9,4.3,86
81,256.9,0.649,0.688,0.485,0.739,4.5,3.7,95
82,256.7,0.582,0.695,0.5,0.753,6.3,2.6,102
83,256.5,0.696,0.65,0.497,0.73,2.2,3,92
84,256.4,0.66,0.66,0.492,0.734,4.4,2.6,74
85,256.4,0.659,0.663,0.493,0.756,2.6,3.3,60
86,256.3,0.6,0.678,0.512,0.749,5.1,2.7,76
87,256.1,0.555,0.698,0.523,0.767,5.4,3.6,105
88,256.1,0.638,0.677,0.489,0.74,3.8,2.1,125
89,256,0.601,0.694,0.503,0.763,3,3.1,104
90,255.8,0.596,0.698,0.496,0.754,5.3,3.9,52
91,255.5,0.611,0.658,0.535,0.747,3.4,3,135
92,255.1,0.624,0.696,0.469,0.74,5.4,3.2,118
93,254.7,0.581,0.715,0.474,0.756,5.5,3.4,39
94,254.5,0.636,0.666,0.51,0.749,1.5,3.1,13
95,254.5,0.645,0.668,0.488,0.721,4.5,2.2,119
96,253.3,0.668,0.633,0.527,0.705,1.6,1.6,81
97,253.2,0.565,0.719,0.47,0.748,6,3,78
98,252.4,0.653,0.644,0.495,0.717,3,1.5,182
99,252.2,0.653,0.676,0.467,0.725,3,2.9,77
100,251.8,0.622,0.671,0.486,0.732,4.6,3.9,54
101,251.3,0.578,0.688,0.498,0.732,4.6,2.9,71
102,251,0.676,0.649,0.48,0.713,2.2,3,50
103,250.4,0.592,0.681,0.497,0.74,3.3,3.9,37
104,250.2,0.547,0.704,0.485,0.749,6.4,4.7,155
105,250,0.629,0.669,0.481,0.726,3.2,3.7,44
106,249.4,0.616,0.664,0.489,0.709,3.6,2,140
107,249.3,0.533,0.756,0.434,0.746,9.5,7.1,46
108,248.9,0.635,0.648,0.496,0.71,2.5,2.5,79
109,248.8,0.574,0.682,0.495,0.736,4.3,4.2,22
110,248.7,0.626,0.655,0.493,0.718,2.5,3,123
111,246,0.648,0.651,0.466,0.713,1.9,3.7,91
112,245.8,0.606,0.674,0.471,0.71,3.2,3.5,122
113,245.5,0.668,0.619,0.495,0.678,2.2,2.7,63
114,244.4,0.598,0.644,0.499,0.698,3,2.5,157
115,242.6,0.68,0.631,0.449,0.676,2.3,3.3,94
